m,n,x1,b391,b392,b393,b394,b395,b396,b397,b398,b399,b400,b401,b402,b403,b404,b405,b406,b407,b408,b409,b410,b411,b412,b413,b414,b415,b416,b417,b418,b419,b420,b421,b422,b423,b424,b425,b426,b427,b428,b429,b430,b431,b432,b433,b434,b435,b436,b437,b438,b439,b440,b441,b442,b443,b444,b445,b446,b447,b448
52.99176795,-66.76316211,70.49393076,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
-42.45262705,-81.29517379,-194.4451611,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
59.37776476,-96.76925653,120.9247786,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
52.04674054,-77.17886561,-195.5317361,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,2.5,2.5
-10.9374794,-92.16926421,-175.7646048,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
62.70983295,-12.82228835,145.9989659,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
1.968375095,-48.73158688,-185.3163178,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
60.08026657,-47.54423647,-143.0082997,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,2.5,2.5
95.72561684,-27.46255794,-126.2334566,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,1.5,0.5,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,1.5,0.5,0.5,1.5,0.5,1.5
-26.55679399,-81.93189916,-89.68428435,1.5,0.5,1.5,0.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,2.5,2.5,2.5,2.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5,1.5,0.5
