a,b,x1,b105,b106,b107,b108,b109,b110,b111,b112,b113,b114,b115,b116,b117,b118,b119,b120,b121,b122,b123,b124,b125,b126,b127,b128,b129,b130,b131,b132,b133,b134,b135,b136,b137,b138,b139,b140,b141,b142
-58.67691322,-62.2065683,171.5001653,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
90.37453945,39.54068166,-13.61191169,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
61.97377668,97.75573513,-195.225612,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5
53.52464667,99.98734308,-150.5071996,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5
-48.37909429,-2.03401004,176.1439138,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
81.56063482,86.76709751,131.9984821,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
37.51457198,88.55493067,130.7321348,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
-43.42247157,37.15175297,-105.0278825,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5
-13.1467685,-42.34987487,11.3509221,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
-13.54144642,-45.92207697,102.0818541,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
98.85140358,33.10605815,189.2193012,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5
-14.94703933,-65.73832849,115.5931837,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
81.34513743,55.90816671,-50.33633073,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
-81.28581389,67.97438586,-92.1122738,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5
-0.814951818,-67.8685904,27.622823,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
18.40220319,39.36949174,127.7439743,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,1.5,0.5,1.5,0.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
-32.15600477,46.33617134,-47.5748597,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5
12.00482847,48.21862939,-167.390883,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5
9.319297881,38.8796893,-38.30345287,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5
-24.45202771,21.51189179,-138.4405254,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5
-7.513649884,21.97483997,14.95560682,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
-95.740145,89.37344814,15.23239264,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
-54.93249716,-99.74058239,84.76962415,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5
64.77786988,75.53971985,-113.9645026,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5
-17.8096423,55.02708085,-48.24787417,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5
-73.63917021,75.64757658,72.33651721,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,1.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
-99.80819211,24.7551435,-117.864539,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,1.5,0.5,1.5,0.5,1.5,0.5
-25.68919772,-99.09128747,93.70561624,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5
-91.2071276,24.21231189,-57.82273687,0.5,1.5,0.5,1.5,2.5,2.5,0.5,1.5,0.5,1.5,0.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.5,1.5,2.5,2.5,0.5,1.5,2.5,2.5,2.5,2.5
